英雄,分路,胜率,日变化,出场率,第一轮禁用率,第二轮禁用率,赋权禁用率,禁用率,赋权BP率,BP率,巅峰均分,Q区国十,Q区国百,aq国十,aq国百,iq国十,iq国百,av国十,av国百,iv国十,iv国百,场均击杀,场均死亡,场均助攻,KDA,参团率,输出占比,分均输出,承伤占比,分均承伤,分均经济,局均经济,伤转,平均时长,控制时长,治疗量,对塔伤害,胜方MVP,败方MVP,MVP率,拿牌率,超神率,前期胜率,中期胜率,后期胜率
海月,中路,53.0%,+0.14%,7.1%,88.9%,2.1%,89.7%,91.0%,96.9%,98.2%,"2,263","15,738","13,564","15,872","13,884","15,604","13,243","15,177","12,958","14,738","12,584",3.6,3.2,4.8,2.63,58.6%,21.5%,"5,061",18.8%,"4,636",628,"8,101",1.15,12:54,10.5s,"6,006",979,9.6%,12.1%,21.7%,24.5%,2.2%,51.4%,53.5%,49.4%
敖隐,发育路,51.2%,+0.09%,19.8%,76.2%,2.2%,77.1%,78.4%,96.8%,98.2%,"2,263","16,257","14,238","16,470","14,591","16,043","13,884","15,592","13,365","14,890","12,975",3.4,2.1,5.1,4.08,57.5%,23.9%,"5,928",16.9%,"4,161",713,"9,673",1.12,13:34,6.2s,"27,537","13,421",12.4%,9.4%,21.8%,24.3%,4.4%,54.4%,49.3%,48.7%
盾山,游走,55.1%,-0.17%,11.5%,83.7%,0.9%,84.0%,84.6%,95.6%,96.1%,"2,267","15,750","13,512","16,043","14,207","15,457","12,816","14,841","12,780","14,448","12,249",0.9,2.6,9.5,4.04,71.0%,9.0%,"2,093",25.1%,"5,769",528,"7,172",0.57,13:35,42.2s,"14,515","1,622",2.5%,4.4%,6.9%,20.4%,0.0%,58.4%,53.6%,51.5%
少司缘,游走,51.8%,+0.02%,28.3%,56.2%,3.7%,57.7%,59.9%,85.9%,88.1%,"2,262","16,730","15,150","16,470","15,177","16,989","15,122","15,604","14,152","15,863","14,247",1.3,2.8,9.5,3.91,74.7%,12.5%,"3,058",23.0%,"5,509",586,"7,716",0.73,13:10,10.8s,"73,036","1,020",9.2%,5.9%,15.1%,40.0%,0.0%,51.5%,51.9%,48.4%
裴擒虎,打野,50.9%,-0.16%,17.1%,43.6%,11.9%,48.4%,55.5%,65.5%,72.6%,"2,248","16,333","14,417","16,196","14,619","16,470","14,214","15,396","13,493","16,031","13,725",4.2,2.8,4.5,3.13,64.7%,20.1%,"4,837",18.1%,"4,368",778,"10,360",0.86,13:19,3.5s,"7,429","11,374",15.8%,8.4%,24.2%,24.3%,8.9%,54.4%,49.8%,50.3%
马超,打野/对抗路,51.0%,-0.08%,24.6%,33.9%,8.0%,37.0%,41.8%,61.6%,66.4%,"2,250","16,577","14,631","16,684","14,890","16,470","14,372","15,616","13,884","16,271","13,634",4.0,2.6,4.4,3.22,61.5%,21.1%,"5,086",20.0%,"4,858",795,"10,560",0.88,13:17,2.3s,"40,885","7,777",14.7%,11.4%,26.1%,24.8%,7.8%,51.6%,50.5%,50.5%
元流之子(射手),发育路,48.1%,+0.16%,30.5%,8.3%,25.1%,18.3%,33.4%,48.8%,63.9%,"2,257","16,232","14,595","16,433","14,878","16,031","14,311","15,476","14,103","15,396","13,920",3.1,2.4,4.7,3.24,55.8%,27.0%,"6,688",16.1%,"3,840",717,"9,596",1.25,13:23,0.8s,"15,538","14,502",13.4%,10.5%,23.9%,22.3%,3.1%,50.2%,47.1%,46.9%
沈梦溪,中路,46.9%,-0.10%,21.4%,18.3%,23.8%,27.9%,42.2%,49.3%,63.6%,"2,248","16,180","14,250","16,488","14,616","15,872","13,884","15,317","13,884","15,354","13,634",2.7,2.4,6.5,3.80,66.0%,29.2%,"7,427",13.9%,"3,362",651,"8,908",1.48,13:41,5.4s,"6,508",863,14.9%,18.5%,33.4%,31.5%,1.8%,45.5%,47.1%,51.7%
镜,打野,51.8%,-0.11%,18.9%,30.9%,11.5%,35.5%,42.4%,54.3%,61.3%,"2,254","16,339","14,430","16,134","14,616","16,543","14,244","16,080","13,725","15,500","13,634",4.2,2.6,4.8,3.51,63.3%,21.0%,"5,222",18.5%,"4,512",770,"10,498",0.91,13:38,4.4s,"39,219","7,797",17.0%,15.7%,32.7%,34.7%,7.6%,52.5%,50.7%,51.5%
女娲,中路,49.5%,-0.05%,22.0%,13.6%,20.9%,22.0%,34.5%,44.0%,56.5%,"2,260","16,147","14,475","16,318","14,719","15,976","14,231","15,384","13,841","15,073","13,484",2.7,2.3,7.3,4.43,69.8%,27.3%,"6,864",11.3%,"2,667",644,"8,973",1.39,13:56,27.1s,"5,879",811,15.3%,16.8%,32.1%,31.6%,1.7%,48.1%,49.6%,52.5%
元流之子(辅助),游走,52.1%,+0.07%,28.1%,23.5%,4.6%,25.3%,28.1%,53.4%,56.2%,"2,265","16,470","14,799","16,470","15,006","16,470","14,591","15,476","13,853","15,604","13,701",0.9,2.0,8.6,4.75,74.2%,13.3%,"3,207",27.0%,"7,028",527,"6,798",0.83,12:54,0.0s,"84,645","3,614",11.6%,9.5%,21.1%,34.6%,0.1%,52.0%,52.7%,52.0%
关羽,对抗路,53.7%,+0.02%,19.5%,15.8%,17.9%,23.0%,33.7%,42.5%,53.2%,"2,263","16,205","14,055","16,391","14,591","16,019","13,518","15,354","13,756","15,238","13,243",2.9,2.9,5.2,2.83,55.1%,15.4%,"3,676",19.4%,"4,469",661,"8,758",0.78,13:15,23.9s,"18,436","2,568",6.3%,6.7%,13.0%,24.2%,1.5%,56.4%,52.3%,50.9%
大乔,中路/游走,52.5%,+0.12%,17.3%,22.5%,10.2%,26.6%,32.7%,43.9%,49.9%,"2,257","16,425","14,527","16,147","14,384","16,702","14,670","15,177","13,438","15,604","13,549",1.3,2.3,8.7,4.34,70.5%,21.1%,"5,288",17.5%,"4,197",597,"8,040",1.17,13:28,8.1s,"4,375","1,064",10.4%,8.3%,18.7%,31.4%,0.3%,55.5%,50.5%,50.7%
嫦娥,中路,52.2%,+0.10%,21.2%,10.4%,12.8%,15.5%,23.1%,36.7%,44.4%,"2,251","16,141","14,378","16,134","14,603","16,147","14,152","15,238","13,932","15,488","13,884",2.6,2.6,6.3,3.40,63.9%,24.5%,"5,899",20.0%,"5,131",694,"9,288",1.18,13:23,13.0s,"33,589","2,413",11.3%,12.3%,23.6%,25.3%,1.4%,54.9%,51.7%,50.4%
影,对抗路,49.5%,+0.11%,23.4%,5.5%,8.0%,8.8%,13.6%,32.1%,37.0%,"2,255","16,263","14,515","16,378","14,841","16,147","14,189","15,500","14,000","15,604","13,621",3.2,3.1,4.3,2.38,53.0%,22.7%,"5,633",25.7%,"6,536",697,"9,340",1.09,13:24,0.5s,"33,431","9,133",10.4%,10.9%,21.3%,16.7%,2.0%,52.1%,48.9%,46.6%
苏烈,游走,49.6%,-0.14%,13.9%,5.2%,16.6%,11.8%,21.8%,25.7%,35.7%,"2,253","15,900","13,752","16,470","14,426","15,329","13,078","15,177","13,621","14,890","12,639",1.0,2.9,8.8,3.42,68.3%,10.3%,"2,409",32.0%,"8,129",509,"6,804",0.67,13:22,28.1s,"53,952","3,107",4.0%,3.4%,7.4%,17.5%,0.0%,52.6%,47.3%,47.9%
司空震,对抗路/发育路,48.8%,-0.01%,20.4%,7.0%,8.3%,10.3%,15.2%,30.7%,35.6%,"2,253","16,074","14,256","16,263","14,670","15,884","13,841","15,433","13,884","15,177","13,261",2.5,2.7,4.3,2.55,52.3%,21.0%,"5,101",23.5%,"5,784",706,"9,284",0.98,13:09,12.6s,"22,086","8,607",10.9%,7.7%,18.6%,24.7%,1.5%,46.4%,49.4%,50.5%
武则天,中路,50.0%,-0.09%,10.5%,5.7%,16.2%,12.2%,21.9%,22.7%,32.5%,"2,259","15,782","13,747","15,808","13,884","15,756","13,609","14,994","13,231","15,280","13,115",1.8,2.6,7.8,3.65,68.7%,22.5%,"5,407",13.7%,"3,218",604,"8,164",1.23,13:31,40.2s,"5,902",621,4.2%,4.6%,8.8%,15.3%,0.0%,53.3%,48.4%,46.2%
元歌,对抗路,50.9%,+0.05%,14.1%,10.5%,7.0%,13.3%,17.6%,27.4%,31.6%,"2,259","15,808","13,899","15,988","14,189","15,628","13,609","15,177","13,676","15,384","13,274",3.2,2.1,4.7,3.69,54.7%,20.9%,"5,166",13.5%,"2,983",672,"9,240",1.02,13:45,3.7s,"13,885","5,839",9.1%,11.2%,20.3%,25.9%,2.2%,51.6%,50.5%,53.2%
百里守约,发育路,49.2%,-0.02%,18.9%,2.4%,8.7%,5.8%,11.1%,24.8%,30.0%,"2,246","15,823","14,207","16,006","14,530","15,640","13,884","15,177","13,865","15,268","13,428",2.8,2.4,5.2,3.38,57.4%,24.6%,"6,105",14.2%,"3,445",695,"9,406",1.16,13:32,2.3s,"9,299","10,452",11.9%,9.4%,21.3%,20.4%,3.7%,43.9%,51.5%,58.8%
张飞,游走,47.5%,+0.09%,15.5%,3.5%,10.8%,7.8%,14.3%,23.3%,29.8%,"2,249","15,592","13,759","16,006","14,152","15,177","13,365","15,110","13,701","14,890","12,975",0.6,2.1,8.0,4.06,66.2%,6.8%,"1,562",29.2%,"7,668",506,"6,806",0.44,13:27,26.6s,"14,137",954,5.6%,7.2%,12.8%,23.7%,0.0%,44.7%,49.1%,50.6%
戈娅,发育路,51.0%,0.00%,17.0%,0.7%,11.5%,5.3%,12.1%,22.3%,29.2%,"2,259","16,251","14,220","16,031","14,555","16,470","13,884","15,177","13,884","15,476","13,390",3.3,3.0,5.6,2.95,60.9%,25.1%,"6,195",16.8%,"4,108",718,"9,657",1.16,13:27,3.0s,"9,722","9,332",7.9%,10.8%,18.7%,19.7%,3.4%,50.6%,52.2%,49.0%
公孙离,发育路,50.7%,+0.15%,14.4%,2.6%,10.0%,6.6%,12.6%,21.0%,27.0%,"2,257","16,665","14,497","16,470","14,738","16,860","14,256","15,492","13,762","16,226","13,688",3.4,3.0,4.4,2.63,54.9%,22.8%,"5,449",16.7%,"3,970",721,"9,505",1.05,13:11,2.3s,"10,566","10,066",11.7%,8.6%,20.3%,24.6%,3.7%,47.6%,52.2%,53.1%
老夫子,对抗路,50.7%,+0.15%,8.3%,3.0%,14.9%,9.0%,18.0%,17.4%,26.3%,"2,251","15,311","13,234","15,421","13,884","15,201","12,584","15,177","12,816","14,530","11,651",1.9,3.0,5.4,2.42,51.6%,12.7%,"2,994",18.2%,"4,223",647,"8,681",0.65,13:25,10.8s,"11,060","8,129",4.5%,3.7%,8.2%,29.2%,0.5%,45.5%,53.4%,58.1%
哪吒,对抗路/打野,50.3%,-0.08%,15.6%,3.3%,6.2%,5.8%,9.5%,21.4%,25.1%,"2,251","15,324","13,634","15,342","14,085","15,305","13,182","15,154","13,701","15,085","12,963",4.1,3.4,5.9,2.93,66.7%,20.2%,"4,957",22.5%,"5,587",659,"9,050",1.02,13:44,0.0s,"6,336","1,828",10.5%,8.1%,18.6%,19.2%,4.7%,45.8%,52.3%,53.9%
艾琳,发育路,50.4%,-0.03%,13.8%,0.7%,9.7%,4.6%,10.4%,18.3%,24.1%,"2,255","15,857","14,058","16,006","14,323","15,708","13,792","15,293","13,604","15,189","13,402",3.6,2.8,4.7,2.99,60.2%,28.2%,"6,878",18.3%,"4,451",727,"9,584",1.29,13:11,2.0s,"5,298","13,206",18.2%,12.4%,30.6%,23.8%,4.2%,51.4%,50.4%,44.3%
狂铁,对抗路,49.0%,+0.04%,18.6%,0.7%,4.0%,2.3%,4.7%,20.8%,23.3%,"2,250","15,656","13,772","16,019","14,311","15,293","13,232","15,342","13,469","14,670","12,584",1.7,3.0,5.4,2.42,52.5%,16.6%,"4,024",27.8%,"7,326",636,"8,512",0.86,13:23,17.6s,"36,998","3,760",4.1%,5.6%,9.7%,19.1%,0.4%,49.4%,48.8%,47.9%
大禹,游走,51.1%,+0.21%,19.1%,1.2%,2.4%,2.1%,3.6%,21.3%,22.7%,"2,254","15,549","13,972","15,872","14,347","15,226","13,597","15,134","13,884","15,354","13,426",0.6,2.1,9.7,4.91,74.7%,8.3%,"2,009",24.2%,"6,068",527,"7,053",0.53,13:23,25.2s,"70,293","1,975",8.1%,4.3%,12.4%,28.9%,0.0%,53.3%,50.7%,46.5%
阿古朵,打野/发育路,51.6%,-0.10%,11.2%,3.1%,5.4%,5.3%,8.5%,16.5%,19.7%,"2,238","15,705","13,547","15,952","13,841","15,457","13,253","15,061","13,298","15,215","13,219",3.8,2.5,5.5,3.71,66.5%,23.9%,"5,991",26.3%,"7,169",750,"9,838",1.06,13:07,8.9s,"59,750","13,462",14.3%,11.3%,25.6%,16.7%,5.0%,56.3%,47.9%,47.3%
蚩奼,发育路/对抗路,50.9%,-0.19%,15.3%,0.6%,3.8%,2.1%,4.4%,17.4%,19.7%,"2,258","16,147","14,134","16,470","14,518","15,823","13,749","15,604","13,677","15,210","13,115",3.6,3.5,4.3,2.27,54.0%,21.7%,"5,169",20.1%,"4,978",704,"9,363",1.02,13:18,7.8s,"24,673","8,789",10.2%,8.4%,18.6%,20.7%,2.5%,50.6%,50.2%,52.1%
不知火舞,中路,51.1%,+0.09%,12.1%,1.0%,5.5%,3.2%,6.5%,15.2%,18.5%,"2,257","16,050","14,076","15,903","14,311","16,196","13,841","14,774","13,103","15,421","13,042",2.6,3.2,5.9,2.65,59.5%,20.5%,"4,821",17.5%,"4,175",629,"8,198",1.09,13:02,26.7s,"5,955","1,189",6.8%,7.4%,14.2%,22.8%,0.7%,55.3%,49.5%,41.2%
诸葛亮,中路/打野,51.0%,+0.15%,16.5%,0.4%,0.8%,0.7%,1.1%,17.2%,17.6%,"2,261","15,726","14,037","15,915","14,189","15,537","13,884","15,396","13,884","15,177","13,829",3.8,3.0,4.6,2.85,61.8%,27.3%,"6,771",16.5%,"3,948",762,"10,058",1.21,13:12,1.2s,"5,314",969,15.7%,10.5%,26.2%,18.6%,5.2%,50.5%,51.4%,49.8%
小乔,中路,49.4%,+0.24%,15.3%,0.1%,1.3%,0.6%,1.4%,15.9%,16.7%,"2,258","15,870","14,098","16,019","14,311","15,720","13,884","15,033","13,322","15,177","13,506",2.7,2.9,6.0,3.00,62.2%,23.0%,"5,364",14.6%,"3,416",628,"8,269",1.22,13:10,15.0s,"5,550",643,8.2%,7.8%,16.0%,24.5%,1.6%,50.4%,49.0%,49.0%
狄仁杰,发育路,49.9%,-0.07%,6.7%,0.6%,9.4%,4.3%,9.9%,11.0%,16.6%,"2,255","15,022","12,813","15,177","13,170","14,866","12,456","14,311","12,639","14,485","12,212",2.4,2.8,4.9,2.63,58.7%,25.1%,"5,913",18.1%,"4,589",692,"8,915",1.19,12:53,8.0s,"8,667","13,886",8.7%,10.3%,19.0%,18.4%,1.3%,52.1%,49.4%,46.5%
鲁班大师,游走,52.1%,+0.33%,10.8%,1.6%,4.1%,3.3%,5.7%,14.0%,16.5%,"2,268","15,946","13,125","16,470","13,884","15,421","12,365","15,006","12,746","15,110","11,651",1.0,2.1,10.3,5.33,76.3%,10.2%,"2,395",30.2%,"7,368",516,"6,983",0.66,13:32,35.1s,"6,002","2,099",10.1%,7.4%,17.5%,31.0%,0.2%,50.7%,51.5%,53.9%
虞姬,发育路,49.9%,-0.01%,10.0%,0.6%,5.0%,2.5%,5.5%,12.5%,15.5%,"2,253","15,171","13,443","15,177","13,884","15,165","13,002","14,856","12,975","14,646","12,920",2.8,2.7,4.2,2.59,52.9%,24.0%,"5,870",14.8%,"3,553",693,"9,171",1.14,13:14,7.1s,"9,227","12,196",6.9%,4.7%,11.6%,15.1%,1.3%,49.2%,50.2%,51.8%
孙悟空,打野,49.1%,-0.01%,11.3%,1.1%,1.7%,1.8%,2.8%,13.1%,14.1%,"2,247","15,738","13,417","15,872","13,884","15,604","12,950","15,177","13,011","14,738","12,609",4.6,3.5,3.8,2.45,58.5%,18.6%,"4,509",18.5%,"4,477",790,"10,481",0.79,13:16,7.5s,"6,352","6,791",12.3%,6.8%,19.1%,18.8%,7.2%,47.6%,49.6%,51.5%
心魔六耳,打野/对抗路,46.4%,-0.03%,8.5%,2.9%,2.6%,3.9%,5.5%,12.4%,14.0%,"2,245","15,772","13,350","15,939","13,884","15,604","12,816","15,165","13,103","14,542","12,584",4.0,4.0,3.8,1.94,54.9%,21.2%,"5,150",17.4%,"4,059",727,"9,560",0.97,13:09,13.8s,"12,771","5,731",9.4%,6.8%,16.2%,16.7%,3.9%,44.7%,47.4%,48.4%
太乙真人,游走,51.6%,-0.07%,10.9%,0.7%,2.3%,1.6%,3.0%,12.5%,13.9%,"2,275","15,726","13,252","16,080","13,920","15,372","12,584","15,018","13,103","15,126","12,377",0.9,2.5,8.7,3.80,67.6%,8.9%,"2,088",25.8%,"6,131",541,"7,294",0.55,13:29,24.7s,"6,975",579,4.9%,3.7%,8.6%,24.0%,0.0%,50.1%,52.9%,49.5%
杨玉环,中路/游走,49.6%,0.00%,12.7%,0.0%,0.1%,0.1%,0.2%,12.7%,12.8%,"2,255","16,025","13,927","16,019","13,969","16,031","13,884","15,280","13,438","15,378","13,670",2.4,2.6,7.3,3.76,71.1%,20.8%,"4,938",20.6%,"5,110",628,"8,059",1.09,12:50,14.2s,"54,126","3,310",10.5%,9.6%,20.1%,32.4%,1.1%,48.3%,50.9%,51.0%
宫本武藏,打野,47.6%,-0.33%,6.7%,1.1%,5.1%,3.1%,6.2%,9.8%,12.8%,"2,246","15,394","13,057","15,250","13,438","15,537","12,676","14,619","12,874","14,475","12,316",3.9,3.5,4.3,2.36,59.8%,17.9%,"4,204",18.4%,"4,311",736,"9,727",0.80,13:13,9.7s,"5,879","5,503",10.3%,5.6%,15.9%,17.6%,4.7%,45.2%,49.7%,50.4%
蒙恬,对抗路,52.0%,-0.18%,8.2%,0.4%,4.0%,2.1%,4.5%,10.2%,12.7%,"2,243","15,149","13,286","15,213","13,884","15,085","12,688","15,165","13,011","14,866","12,584",2.6,3.0,4.8,2.51,52.9%,19.4%,"4,854",23.7%,"5,832",645,"8,568",1.00,13:17,22.3s,"26,880","6,770",7.6%,7.9%,15.5%,24.4%,1.4%,59.1%,47.9%,41.5%
暃,打野,47.3%,+0.33%,10.2%,0.1%,1.6%,0.8%,1.7%,10.9%,11.9%,"2,235","15,674","13,731","15,744","14,024","15,604","13,438","15,177","13,127","15,030","12,700",5.3,3.1,4.0,3.00,66.5%,21.1%,"5,178",17.6%,"4,248",753,"10,228",0.92,13:35,6.5s,"27,875","8,563",10.9%,9.3%,20.2%,14.1%,10.2%,45.3%,48.0%,51.3%
苍,发育路,49.6%,-0.26%,10.4%,0.0%,1.4%,0.6%,1.4%,11.0%,11.8%,"2,252","15,604","13,921","15,604","14,311","15,604","13,530","15,134","13,078","15,177","12,609",3.1,2.8,4.7,2.84,55.6%,25.4%,"6,221",15.2%,"3,679",697,"9,317",1.21,13:22,5.4s,"9,836","11,890",9.3%,8.3%,17.6%,17.4%,2.1%,49.2%,49.8%,52.1%
百里玄策,打野,51.4%,-0.29%,8.3%,0.7%,2.3%,1.6%,3.0%,9.9%,11.3%,"2,250","15,656","13,518","15,409","13,450","15,903","13,585","14,461","12,999","15,049","13,115",3.8,3.3,4.2,2.46,62.3%,16.0%,"3,633",16.6%,"3,827",773,"9,843",0.69,12:44,12.0s,"7,204","10,655",9.1%,5.6%,14.7%,12.3%,5.9%,53.3%,49.7%,50.1%
赵云,打野,49.3%,-0.14%,10.3%,0.1%,0.7%,0.4%,0.8%,10.6%,11.1%,"2,239","15,437","13,521","15,844","14,048","15,030","12,994","15,061","13,194","15,322","13,011",3.5,2.8,4.7,2.93,59.4%,17.8%,"4,254",19.1%,"4,782",737,"10,085",0.79,13:41,8.4s,"43,575","4,537",7.3%,3.2%,10.5%,10.5%,3.9%,46.8%,50.5%,50.7%
墨子,游走,47.6%,-0.18%,9.3%,0.3%,1.0%,0.8%,1.4%,10.0%,10.7%,"2,249","15,357","13,386","15,433","13,834","15,280","12,938","14,475","13,091","14,579","12,597",1.1,2.9,9.2,3.55,68.3%,16.5%,"4,239",25.1%,"5,923",517,"7,040",1.05,13:37,64.9s,"10,621","1,687",4.8%,3.8%,8.6%,21.5%,0.0%,48.5%,46.2%,50.5%
西施,中路/游走,52.1%,+0.17%,7.7%,0.6%,2.3%,1.6%,3.0%,9.3%,10.6%,"2,257","15,765","13,727","15,866","13,884","15,663","13,570","14,941","13,103","14,451","12,700",1.7,2.8,7.9,3.38,63.5%,18.4%,"4,274",13.4%,"3,019",552,"7,397",1.11,13:24,18.8s,"5,618",740,2.9%,3.7%,6.6%,12.4%,0.3%,55.3%,51.3%,44.4%
夏洛特,对抗路,50.2%,-0.13%,9.5%,0.1%,0.2%,0.2%,0.3%,9.7%,9.8%,"2,267","15,732","13,427","16,031","14,073","15,433","12,780","15,226","13,024","14,866","12,145",2.7,3.3,4.2,2.09,49.8%,19.6%,"4,819",22.1%,"5,355",685,"9,065",0.95,13:14,6.0s,"41,320","3,693",7.7%,8.4%,16.1%,24.1%,0.9%,49.5%,51.8%,48.6%
刘邦,游走,49.1%,-0.01%,7.8%,0.6%,1.3%,1.1%,1.9%,8.9%,9.6%,"2,242","15,391","13,252","15,604","13,920","15,177","12,584","15,073","13,322","15,177","12,584",2.8,3.1,8.4,3.58,73.8%,11.6%,"2,752",27.7%,"6,848",558,"7,505",0.69,13:27,8.5s,"9,491","2,295",12.5%,7.7%,20.2%,28.0%,2.3%,47.6%,50.1%,49.5%
李信,发育路/对抗路,49.5%,-0.12%,8.8%,0.1%,0.7%,0.4%,0.8%,9.2%,9.6%,"2,254","15,571","13,570","15,732","14,115","15,409","13,024","15,537","13,585","14,738","12,834",3.0,2.8,3.8,2.44,48.9%,23.8%,"5,856",18.4%,"4,446",725,"9,775",1.10,13:29,2.4s,"24,193","12,231",8.1%,8.8%,16.9%,24.3%,1.8%,53.5%,46.5%,47.8%
甄姬,中路,48.3%,-0.14%,6.9%,0.4%,2.1%,1.3%,2.5%,8.2%,9.5%,"2,242","15,073","13,459","15,177","13,609","14,969","13,308","14,439","12,588","14,707","12,688",1.7,2.6,6.2,3.01,57.7%,24.9%,"6,138",12.6%,"2,994",578,"7,948",1.40,13:45,25.6s,"6,158",565,6.7%,7.7%,14.4%,19.2%,0.0%,44.6%,50.4%,50.5%
杨戬,打野/对抗路,49.5%,+0.29%,8.7%,0.0%,0.7%,0.3%,0.7%,9.0%,9.4%,"2,265","15,235","13,366","15,512","13,884","14,957","12,847","15,177","13,091","14,542","12,407",3.4,2.9,4.5,2.73,56.4%,21.1%,"5,152",23.4%,"5,878",682,"9,196",1.02,13:29,12.3s,"45,450","3,935",11.7%,7.9%,19.6%,19.4%,3.8%,50.8%,49.4%,44.9%
空空儿,游走,47.6%,-0.37%,7.8%,0.6%,1.0%,1.0%,1.6%,8.8%,9.4%,"2,253","15,766","13,528","16,159","14,152","15,372","12,903","15,177","13,024","15,165","12,212",1.5,2.4,9.2,4.40,74.0%,14.8%,"3,669",24.2%,"5,503",521,"6,981",0.94,13:24,17.5s,"73,743","2,543",11.1%,13.1%,24.2%,36.1%,0.0%,46.5%,47.4%,51.7%
韩信,打野,50.0%,-0.07%,8.9%,0.1%,0.3%,0.2%,0.4%,9.2%,9.3%,"2,243","15,387","13,481","15,445","13,792","15,329","13,170","15,189","13,011","15,189","13,115",3.3,2.7,4.6,2.90,59.6%,18.5%,"4,412",16.9%,"4,046",780,"10,556",0.78,13:32,16.1s,"6,631","9,900",11.2%,10.2%,21.4%,21.6%,4.2%,48.7%,50.6%,50.7%
后羿,发育路,50.5%,+0.01%,6.8%,0.1%,1.3%,0.6%,1.4%,7.4%,8.3%,"2,248","15,195","13,103","15,628","13,621","14,761","12,584","14,866","13,011","14,887","12,767",2.8,2.7,5.9,3.21,58.1%,20.6%,"4,922",15.4%,"3,647",697,"8,933",0.98,12:49,16.9s,"10,996","12,461",6.8%,3.6%,10.4%,14.5%,3.6%,48.9%,51.1%,53.3%
曹操,对抗路/打野,49.3%,+0.02%,8.1%,0.0%,0.1%,0.1%,0.1%,8.2%,8.2%,"2,261","15,317","13,448","15,549","13,884","15,085","13,011","15,201","13,011","14,738","12,584",2.7,2.9,4.8,2.53,53.2%,20.3%,"5,018",23.5%,"5,995",690,"9,143",0.98,13:15,6.1s,"42,695","7,424",8.5%,9.3%,17.8%,21.0%,2.2%,48.1%,49.4%,50.9%
云缨,打野,47.7%,-0.18%,7.5%,0.1%,0.6%,0.3%,0.7%,7.8%,8.2%,"2,235","15,513","13,161","15,604","13,518","15,421","12,804","14,695","12,975","15,122","12,908",3.7,2.5,5.0,3.43,63.8%,21.8%,"5,440",18.0%,"4,360",738,"9,852",0.98,13:21,17.2s,"20,101","7,059",12.8%,5.6%,18.4%,16.6%,4.5%,46.8%,49.4%,49.1%
铠,打野,49.5%,-0.22%,6.0%,0.2%,1.1%,0.7%,1.4%,6.7%,7.4%,"2,235","14,912","12,954","15,177","13,646","14,646","12,261","14,335","13,011","14,396","11,889",3.6,2.4,4.4,3.37,56.5%,18.8%,"4,672",18.1%,"4,506",718,"9,777",0.86,13:37,17.1s,"33,030","8,792",10.7%,5.5%,16.2%,17.6%,4.8%,48.4%,51.0%,46.5%
露娜,打野,53.5%,+0.07%,6.0%,0.2%,1.0%,0.6%,1.2%,6.6%,7.2%,"2,231","15,778","13,304","15,604","13,438","15,952","13,170","15,238","12,792","16,068","12,780",3.5,2.8,4.1,2.74,56.3%,20.6%,"5,072",20.1%,"4,946",782,"10,492",0.87,13:25,8.8s,"7,167","4,898",10.4%,12.2%,22.6%,26.3%,4.4%,54.8%,51.5%,50.9%
弈星,中路,48.1%,-0.22%,6.8%,0.0%,0.2%,0.1%,0.2%,6.9%,7.0%,"2,247","15,555","13,037","15,653","13,554","15,457","12,520","14,762","12,700","14,683","12,365",1.9,2.4,8.3,4.32,72.0%,20.1%,"4,716",13.6%,"3,240",595,"7,844",1.11,13:11,17.4s,"6,058","1,430",5.2%,5.5%,10.7%,16.6%,0.6%,45.0%,49.0%,51.6%
海诺,中路,48.9%,-0.24%,6.1%,0.2%,0.7%,0.5%,0.9%,6.5%,7.0%,"2,258","15,357","13,051","15,537","13,493","15,177","12,609","14,634","12,780","14,616","12,285",1.9,2.4,5.1,2.92,54.1%,30.1%,"7,926",26.8%,"7,424",682,"9,196",1.46,13:29,1.0s,"41,627",923,16.4%,16.8%,33.2%,30.3%,0.7%,52.2%,47.7%,45.0%
孙权,发育路,47.3%,-0.16%,5.8%,0.1%,1.0%,0.5%,1.1%,6.4%,7.0%,"2,245","15,686","13,454","15,604","13,884","15,768","13,024","14,982","13,158","14,945","13,011",3.5,3.2,4.7,2.60,55.6%,25.6%,"6,358",17.7%,"4,374",706,"9,449",1.20,13:23,1.1s,"6,244","8,462",11.4%,9.5%,20.9%,17.4%,4.9%,45.2%,49.2%,47.2%
张良,游走/中路,49.6%,-0.42%,3.0%,1.1%,2.7%,2.1%,3.8%,5.2%,6.8%,"2,250","14,326","11,435","14,798","11,938","13,853","10,932","14,115","11,541","13,920","11,297",1.2,3.7,9.8,2.97,72.8%,11.2%,"2,522",17.9%,"3,724",518,"6,872",0.70,13:16,33.2s,"5,408",737,1.5%,3.6%,5.1%,17.5%,0.0%,50.0%,49.5%,47.8%
莱西奥,发育路,50.6%,+0.19%,6.5%,0.0%,0.1%,0.0%,0.1%,6.6%,6.6%,"2,265","15,171","13,002","15,280","13,481","15,061","12,523","14,927","12,712","14,744","12,584",3.1,2.8,4.4,2.69,56.4%,25.9%,"6,272",15.8%,"3,731",714,"9,258",1.20,12:58,0.5s,"10,637","13,384",10.2%,8.1%,18.3%,15.2%,1.4%,48.0%,52.3%,51.8%
