英雄,分路,胜率,日变化,出场率,第一轮禁用率,第二轮禁用率,赋权禁用率,禁用率,赋权BP率,BP率,巅峰均分,Q区国十,Q区国百,aq国十,aq国百,iq国十,iq国百,av国十,av国百,iv国十,iv国百,场均击杀,场均死亡,场均助攻,KDA,参团率,输出占比,分均输出,承伤占比,分均承伤,分均经济,局均经济,伤转,平均时长,控制时长,治疗量,对塔伤害,胜方MVP,败方MVP,MVP率,拿牌率,超神率,前期胜率,中期胜率,后期胜率
瑶,游走,47.2%,-0.48%,2.3%,0.1%,0.1%,0.1%,0.1%,2.4%,2.4%,"2,242","15,807","13,011","15,143","12,584","16,470","13,438","14,744","11,639","15,323","12,809",0.7,2.0,8.1,4.38,71.2%,12.1%,"2,712",15.6%,"3,409",520,"6,396",0.76,12:18,26.0s,"17,211",556,6.8%,3.9%,10.7%,32.0%,0.0%,43.1%,48.7%,48.9%
黄忠,发育路,50.4%,-0.06%,2.2%,0.0%,0.0%,0.0%,0.0%,2.2%,2.2%,"2,243","14,527","12,093","14,994","12,767","14,060","11,419","14,595","12,052","14,048","11,633",2.8,2.6,4.5,2.75,55.2%,25.1%,"5,920",16.0%,"3,910",696,"9,361",1.18,13:27,17.1s,"8,354","10,812",14.1%,8.1%,22.2%,18.2%,3.0%,46.6%,51.6%,51.9%
曜,打野,48.1%,+0.18%,2.2%,0.0%,0.0%,0.0%,0.0%,2.2%,2.2%,"2,229","15,034","12,703","15,177","12,963","14,890","12,442","14,323","12,304","14,085","11,701",3.4,2.5,4.1,3.05,57.4%,19.0%,"4,507",18.3%,"4,432",762,"10,249",0.80,13:27,5.8s,"36,695","4,300",7.1%,6.1%,13.2%,12.2%,5.1%,46.9%,50.0%,47.0%
元流之子(坦克),游走/对抗路/打野,48.5%,-0.45%,2.0%,0.0%,0.1%,0.0%,0.1%,2.0%,2.1%,"2,233","14,125","11,657","14,603","12,389","13,646","10,925","14,256","11,743","14,006","11,038",2.6,3.4,5.8,2.43,61.8%,14.9%,"3,540",31.5%,"8,061",556,"7,265",0.86,13:04,20.9s,"31,035","4,269",8.9%,13.3%,22.2%,21.1%,5.6%,48.4%,47.0%,51.1%
盘古,打野,50.8%,+0.01%,1.8%,0.0%,0.2%,0.1%,0.2%,1.9%,2.0%,"2,226","14,018","11,669","14,152","12,584","13,884","10,754","14,219","12,017","14,152","10,710",4.5,3.5,4.1,2.44,60.6%,21.3%,"5,339",19.3%,"4,663",736,"9,813",0.96,13:20,47.7s,"30,305","5,521",11.3%,5.0%,16.3%,22.5%,6.3%,49.7%,51.0%,52.5%
朵莉亚,游走,45.3%,+0.09%,1.6%,0.1%,0.2%,0.2%,0.3%,1.8%,1.9%,"2,249","15,113","12,414","15,177","12,249","15,049","12,578","13,903","11,566","13,884","12,121",0.5,2.3,9.4,4.37,75.4%,9.7%,"2,254",24.0%,"5,999",515,"6,626",0.61,12:52,5.8s,"75,402","1,401",8.3%,2.8%,11.1%,26.4%,0.0%,45.0%,47.4%,43.5%
王昭君,中路/游走,44.4%,+0.39%,1.8%,0.0%,0.1%,0.1%,0.1%,1.8%,1.9%,"2,247","14,473","11,880","14,207","12,145","14,738","11,614","14,384","11,706","13,749","11,617",1.8,3.1,7.9,3.16,64.9%,20.1%,"4,755",17.9%,"4,299",554,"7,654",1.18,13:49,23.0s,"5,287","1,263",1.3%,11.4%,12.7%,17.7%,0.0%,44.9%,46.6%,46.6%
项羽,对抗路/游走,47.2%,-0.64%,1.7%,0.0%,0.0%,0.0%,0.0%,1.8%,1.8%,"2,253","14,278","11,698","14,311","12,494","14,244","10,901","13,749","12,145","13,590","11,139",1.7,3.4,5.5,2.14,52.1%,15.5%,"3,602",24.4%,"6,289",577,"7,434",0.86,12:53,34.8s,"25,791","1,946",3.8%,3.8%,7.6%,11.5%,0.0%,46.3%,47.1%,48.8%
周瑜,中路,50.9%,+0.14%,1.6%,0.0%,0.1%,0.0%,0.1%,1.7%,1.7%,"2,266","14,308","11,755","14,890","12,511","13,725","10,998","13,884","11,511","14,426","11,084",1.7,2.4,6.9,3.57,68.0%,23.7%,"5,693",15.2%,"3,702",631,"8,214",1.25,13:01,12.1s,"19,379","5,803",5.4%,5.4%,10.8%,25.7%,0.0%,54.8%,49.6%,49.5%
梦奇,打野/对抗路,50.5%,-0.24%,1.7%,0.0%,0.0%,0.0%,0.0%,1.7%,1.7%,"2,230","14,589","11,825","14,738","12,353","14,439","11,297","14,646","11,651","14,292","10,968",2.4,2.2,4.2,3.00,55.6%,19.1%,"4,445",23.0%,"6,086",707,"8,932",0.87,12:38,3.7s,"5,485","6,795",5.3%,5.3%,10.6%,14.7%,2.7%,48.0%,52.4%,48.9%
