英雄,分路,胜率,日变化,出场率,禁用率,BP率
云缨,打野,52.8%,-0.05%,6.5%,0.8%,7.3%
马超,打野/对抗路,46.5%,+0.03%,5.6%,1.4%,7.0%
黄忠,发育路,51.8%,-0.06%,6.4%,0.6%,7.0%
元流之子(射手),发育路,48.2%,-0.03%,6.2%,0.8%,7.0%
张飞,游走,49.1%,-0.10%,5.1%,1.7%,6.8%
狂铁,对抗路,46.9%,-0.04%,5.8%,0.9%,6.7%
公孙离,发育路,43.0%,+0.04%,5.5%,1.1%,6.7%
程咬金,对抗路,50.5%,-0.04%,5.3%,1.3%,6.6%
孙策,对抗路,47.6%,+0.05%,6.1%,0.4%,6.5%
阿轲,打野,50.5%,+0.08%,4.9%,1.5%,6.4%
元流之子(坦克),游走/对抗路/打野,48.3%,+0.06%,4.7%,1.6%,6.3%
白起,对抗路,54.4%,-0.19%,5.5%,0.7%,6.2%
明世隐,游走,49.4%,+0.01%,4.8%,1.4%,6.2%
女娲,中路,51.3%,-0.08%,4.5%,1.7%,6.2%
关羽,对抗路,47.1%,-0.06%,4.5%,1.6%,6.2%
韩信,打野,47.9%,-0.03%,5.5%,0.4%,5.9%
蚩奼,发育路/对抗路,47.8%,+0.03%,4.7%,1.2%,5.9%
莱西奥,发育路,54.1%,0.00%,5.0%,0.3%,5.3%
杨戬,打野/对抗路,51.7%,-0.01%,4.8%,0.4%,5.2%
鬼谷子,游走,47.2%,-0.15%,1.6%,3.6%,5.2%
刘备,打野,54.4%,-0.07%,3.4%,1.8%,5.2%
苏烈,游走,48.2%,+0.02%,3.1%,1.8%,4.9%
司马懿,打野,52.5%,-0.11%,3.3%,1.4%,4.7%
嬴政,中路,52.8%,-0.11%,4.2%,0.2%,4.4%
武则天,中路,53.7%,+0.34%,3.5%,0.8%,4.3%
李白,打野,50.8%,-0.08%,3.9%,0.4%,4.3%
弈星,中路,50.5%,-0.05%,3.3%,0.9%,4.2%
孙膑,游走,50.3%,+0.03%,3.4%,0.7%,4.1%
镜,打野,42.3%,-0.11%,3.1%,0.7%,3.8%
阿古朵,打野/发育路,52.6%,-0.08%,3.0%,0.8%,3.8%
嫦娥,中路,47.1%,+0.01%,3.1%,0.6%,3.7%
曹操,对抗路,50.7%,+0.04%,3.3%,0.3%,3.6%
戈娅,发育路,49.0%,+0.03%,2.6%,1.0%,3.6%
百里玄策,打野,48.0%,-0.02%,3.3%,0.3%,3.6%
刘邦,游走,49.3%,-0.06%,2.7%,0.8%,3.5%
沈梦溪,中路,46.2%,-0.14%,2.8%,0.7%,3.5%
钟无艳,对抗路/打野,50.9%,+0.07%,3.1%,0.3%,3.4%
不知火舞,中路,43.9%,-0.08%,2.8%,0.6%,3.4%
夏洛特,对抗路,47.0%,-0.03%,3.1%,0.2%,3.3%
牛魔,游走,52.0%,+0.10%,2.9%,0.3%,3.2%
花木兰,对抗路,45.8%,-0.16%,3.1%,0.1%,3.2%
曜,打野,49.5%,+0.05%,2.9%,0.2%,3.1%
暃,打野,48.7%,+0.01%,2.7%,0.3%,3.0%
元歌,对抗路,48.1%,-0.08%,2.5%,0.5%,3.0%
蒙恬,对抗路,42.9%,-0.36%,1.4%,1.6%,3.0%
上官婉儿,中路,49.1%,+0.06%,1.8%,1.1%,3.0%
裴擒虎,打野,44.8%,+0.07%,2.5%,0.4%,2.9%
赵怀真,游走/对抗路,47.7%,-0.22%,2.4%,0.3%,2.7%
老夫子,对抗路,46.9%,-0.02%,2.1%,0.6%,2.7%
杨玉环,中路/游走,47.8%,-0.12%,2.5%,0.2%,2.7%
周瑜,中路,51.2%,+0.17%,2.5%,0.2%,2.7%
露娜,打野,44.0%,-0.05%,2.4%,0.1%,2.5%
高渐离,中路,49.7%,+0.03%,2.2%,0.2%,2.4%
元流之子(法师),中路,54.4%,+0.12%,2.1%,0.3%,2.4%
苍,发育路,48.6%,+0.05%,2.2%,0.2%,2.4%
蒙犽,发育路,51.7%,+0.03%,2.1%,0.2%,2.3%
元流之子(辅助),游走,49.3%,-0.18%,1.7%,0.6%,2.3%
橘右京,打野,49.6%,+0.02%,2.0%,0.3%,2.3%
娜可露露,打野,48.7%,-0.08%,2.1%,0.1%,2.2%
亚连,对抗路,52.1%,-0.04%,1.7%,0.2%,1.9%
达摩,对抗路,47.6%,-0.10%,1.8%,0.1%,1.9%
姬小满,对抗路,44.3%,-0.06%,1.7%,0.1%,1.8%
鲁班大师,游走,48.0%,-0.19%,1.1%,0.6%,1.7%
空空儿,游走,46.2%,0.00%,0.6%,0.8%,1.4%
元流之子(刺客),打野,48.6%,+0.03%,1.2%,0.2%,1.4%
太乙真人,游走/中路,47.7%,-0.28%,0.8%,0.5%,1.3%
云中君,打野,53.5%,+0.08%,1.2%,0.1%,1.3%
梦奇,打野/对抗路,50.4%,+0.05%,0.7%,0.3%,1.0%
雅典娜,打野,56.5%,-0.27%,0.9%,0.0%,0.9%
