英雄,分路,胜率,日变化,出场率,禁用率,BP率
墨子,游走/中路,52.0%,0.00%,13.6%,65.8%,79.4%
心魔六耳,打野/对抗路,50.4%,-0.06%,20.8%,42.3%,63.1%
瑶,游走,51.2%,+0.07%,24.8%,33.9%,58.7%
李信,发育路/对抗路,53.9%,-0.01%,24.3%,33.0%,57.3%
庄周,游走,52.3%,+0.02%,5.9%,51.2%,57.1%
李信(暗),发育路/对抗路,55.6%,+0.04%,14.3%,33.0%,47.3%
妲己,中路,50.0%,0.00%,30.6%,16.3%,46.9%
盾山,游走,53.4%,-0.15%,4.8%,40.9%,45.7%
安琪拉,中路,50.5%,+0.02%,35.0%,10.4%,45.4%
东皇太一,游走/对抗路,49.2%,+0.07%,7.2%,37.4%,44.6%
金蝉,中路/游走,49.5%,0.00%,9.0%,34.3%,43.3%
李信(光),发育路/对抗路,51.3%,-0.07%,10.0%,33.0%,43.0%
张良,游走/中路,50.6%,+0.05%,6.1%,35.6%,41.7%
朵莉亚,游走,47.3%,0.00%,20.8%,19.4%,40.2%
蔡文姬,游走,52.7%,-0.04%,13.5%,26.5%,40.0%
米莱狄,中路,48.0%,+0.09%,9.4%,29.2%,38.6%
少司缘,游走,47.4%,+0.02%,11.7%,26.4%,38.1%
钟馗,游走,48.2%,-0.03%,8.6%,29.3%,37.9%
大乔,中路/游走,48.2%,-0.06%,9.2%,25.9%,35.1%
敖隐,发育路,49.0%,+0.11%,7.2%,27.4%,34.6%
王昭君,中路/游走,50.3%,0.00%,19.4%,12.6%,32.0%
后羿,发育路,53.6%,-0.14%,29.2%,2.2%,31.4%
虞姬,发育路,50.8%,+0.07%,15.2%,15.0%,30.2%
小乔,中路,48.1%,0.00%,27.6%,1.6%,29.2%
孙权,发育路,50.8%,-0.02%,16.8%,11.1%,27.9%
大司命,打野,49.8%,-0.01%,13.7%,12.4%,26.1%
西施,中路,50.4%,-0.02%,9.4%,14.7%,24.1%
宫本武藏,打野,49.1%,+0.10%,11.6%,11.8%,23.4%
海月,中路,46.4%,+0.01%,7.0%,16.0%,23.0%
吕布,对抗路,47.7%,-0.04%,16.1%,6.5%,22.6%
鲁班七号,发育路,49.7%,-0.05%,20.8%,1.7%,22.5%
猪八戒,打野/对抗路,49.7%,-0.01%,14.9%,7.3%,22.2%
芈月,对抗路,51.3%,-0.06%,6.6%,15.3%,21.9%
百里守约,发育路,51.4%,-0.05%,14.3%,5.9%,20.2%
孙悟空,打野,48.0%,+0.04%,16.8%,3.4%,20.2%
马可波罗,发育路,48.5%,+0.01%,14.7%,5.0%,19.6%
刘禅,游走,49.7%,-0.06%,10.5%,9.1%,19.6%
艾琳,发育路,48.6%,-0.02%,16.3%,3.2%,19.5%
姜子牙,中路,50.8%,-0.05%,11.3%,7.8%,19.1%
铠,打野,50.5%,+0.16%,11.5%,7.3%,18.9%
李元芳,打野/发育路,52.0%,0.00%,13.6%,2.6%,16.2%
项羽,对抗路/游走,50.0%,+0.03%,13.0%,2.9%,15.9%
甄姬,中路,53.0%,+0.05%,13.7%,2.0%,15.7%
貂蝉,中路,48.6%,0.00%,9.7%,5.9%,15.6%
夏侯惇,对抗路/游走/打野,53.0%,-0.01%,10.4%,4.7%,15.1%
孙尚香,发育路,45.8%,-0.01%,13.2%,1.7%,14.9%
伽罗,发育路,53.9%,+0.06%,9.9%,4.8%,14.7%
哪吒,对抗路/打野,52.8%,+0.02%,6.0%,8.3%,14.3%
廉颇,游走/对抗路,53.1%,+0.02%,8.2%,5.2%,13.4%
澜,打野,47.4%,+0.03%,9.9%,3.3%,13.2%
盘古,打野,48.9%,+0.20%,3.7%,9.3%,13.1%
赵云,打野,54.9%,-0.07%,12.0%,1.0%,13.0%
诸葛亮,中路/打野,47.8%,-0.05%,8.9%,3.2%,12.1%
典韦,打野,49.1%,-0.02%,8.5%,3.0%,11.5%
扁鹊,中路,52.2%,+0.01%,8.2%,3.3%,11.5%
影,对抗路/打野,51.4%,-0.04%,9.1%,2.1%,11.2%
狄仁杰,发育路,51.2%,+0.04%,9.4%,1.2%,10.6%
司空震,对抗路/发育路,47.9%,-0.02%,8.1%,2.0%,10.1%
兰陵王,打野/对抗路,48.7%,+0.03%,4.5%,4.9%,9.4%
亚瑟,对抗路/游走,50.6%,+0.04%,8.3%,0.9%,9.2%
桑启,游走,52.1%,-0.09%,7.4%,1.2%,8.6%
干将莫邪,中路,50.8%,-0.10%,6.1%,2.5%,8.6%
大禹,游走,56.0%,+0.08%,5.3%,3.2%,8.5%
海诺,中路/对抗路,47.0%,-0.03%,4.5%,4.0%,8.5%
