英雄,分路,胜率,日变化,出场率,禁用率,BP率
雅典娜,打野,57.9%,+0.18%,0.7%,0.0%,0.7%
大禹,游走,56.3%,-0.01%,4.9%,3.2%,8.1%
赵云,打野,55.8%,+0.03%,12.4%,0.9%,13.3%
李信(暗),发育路/对抗路,55.2%,-0.38%,13.5%,30.6%,44.1%
白起,对抗路,55.1%,-0.20%,5.5%,0.8%,6.3%
刘备,打野,55.0%,-0.35%,4.3%,2.5%,6.8%
元流之子(法师),中路,54.9%,-0.13%,1.7%,0.2%,1.9%
云中君,打野,54.8%,+0.07%,0.9%,0.0%,0.9%
莱西奥,发育路,54.8%,-0.02%,3.9%,0.2%,4.1%
伽罗,发育路,54.6%,+0.03%,8.8%,4.3%,13.1%
阿古朵,打野,54.2%,+0.15%,2.3%,0.7%,2.9%
武则天,中路,53.8%,+0.12%,3.4%,0.7%,4.1%
云缨,打野,53.6%,-0.02%,5.9%,0.8%,6.7%
哪吒,对抗路/打野,53.5%,+0.02%,5.8%,7.4%,13.2%
司马懿,打野,53.4%,-0.43%,2.9%,1.3%,4.2%
嬴政,中路,53.4%,+0.19%,3.7%,0.2%,3.9%
盾山,游走,53.3%,-0.21%,3.9%,42.7%,46.6%
甄姬,中路,53.3%,-0.01%,12.9%,1.9%,14.8%
廉颇,游走/对抗路,53.1%,0.00%,7.8%,5.0%,12.8%
后羿,发育路,52.8%,-0.08%,26.0%,2.1%,28.1%
李信,发育路/对抗路,52.8%,-0.27%,25.1%,30.6%,55.7%
蔡文姬,游走,52.8%,-0.15%,14.3%,26.7%,41.0%
夏侯惇,对抗路,52.8%,-0.05%,9.6%,4.5%,14.1%
黄忠,发育路,52.7%,+0.10%,5.3%,0.5%,5.8%
扁鹊,中路,52.6%,+0.01%,8.1%,2.6%,10.7%
李元芳,打野/发育路,52.6%,+0.07%,12.3%,2.4%,14.7%
蒙犽,发育路,52.5%,-0.03%,1.4%,0.2%,1.6%
杨戬,对抗路/打野,52.4%,+0.08%,4.1%,0.4%,4.5%
影,对抗路,52.4%,+0.04%,7.4%,2.0%,9.4%
庄周,游走,52.4%,+0.02%,6.4%,50.5%,56.9%
牛魔,游走,52.3%,-0.18%,2.7%,0.3%,3.0%
亚连,对抗路,52.3%,+0.09%,1.5%,0.2%,1.7%
桑启,游走,52.2%,-0.43%,6.7%,1.1%,7.8%
墨子,游走/中路,51.9%,+0.09%,13.6%,65.1%,78.7%
女娲,中路,51.9%,+0.15%,3.8%,1.6%,5.4%
周瑜,中路,51.9%,+0.07%,2.3%,0.2%,2.5%
阿轲,打野,51.7%,+0.07%,4.1%,1.4%,5.5%
心魔六耳,打野/对抗路,51.6%,-0.33%,19.5%,37.4%,56.9%
百里守约,发育路,51.4%,+0.03%,16.1%,6.6%,22.7%
芈月,对抗路,51.4%,+0.07%,6.7%,13.7%,20.4%
狄仁杰,发育路,51.3%,-0.05%,8.3%,1.2%,9.5%
张良,游走/中路,51.3%,+0.05%,6.0%,35.2%,41.2%
钟无艳,对抗路/打野,51.3%,+0.25%,3.1%,0.3%,3.4%
李白,打野,51.1%,+0.38%,4.5%,0.4%,4.9%
姜子牙,中路,51.1%,+0.15%,10.2%,7.2%,17.4%
曹操,对抗路,51.0%,-0.01%,2.6%,0.3%,2.9%
干将莫邪,中路,51.0%,+0.18%,5.8%,2.4%,8.2%
孙权,发育路,50.9%,-0.21%,11.8%,8.8%,20.6%
瑶,游走,50.9%,+0.04%,26.0%,33.9%,59.9%
孙膑,游走,50.9%,+0.09%,3.7%,0.7%,4.4%
程咬金,对抗路,50.8%,+0.16%,4.7%,1.2%,5.9%
梦奇,打野/对抗路,50.6%,+0.07%,0.6%,0.3%,0.9%
虞姬,发育路,50.6%,+0.03%,14.5%,14.3%,28.9%
弈星,中路,50.5%,-0.04%,3.6%,1.0%,4.6%
卢雅那,发育路,50.5%,+0.29%,21.0%,16.9%,38.0%
铠,打野,50.4%,+0.02%,10.8%,7.1%,17.9%
亚瑟,对抗路/游走,50.4%,+0.03%,7.8%,0.9%,8.7%
王昭君,中路,50.3%,+0.03%,19.5%,12.4%,31.9%
项羽,对抗路/游走,50.0%,-0.11%,12.6%,2.8%,15.4%
安琪拉,中路,50.0%,0.00%,35.7%,10.4%,46.1%
李信(光),发育路/对抗路,50.0%,-0.17%,11.6%,30.6%,42.2%
妲己,中路,50.0%,-0.25%,32.9%,16.5%,49.4%
兰陵王,对抗路/打野,49.9%,+0.04%,3.9%,4.8%,8.7%
娜可露露,打野,49.9%,+0.22%,1.9%,0.1%,1.9%
橘右京,打野,49.8%,+0.31%,1.9%,0.3%,2.2%
猪八戒,对抗路/打野,49.8%,-0.06%,10.7%,7.5%,18.2%
金蝉,中路,49.8%,+0.18%,8.0%,33.8%,41.8%
暃,打野,49.7%,+0.11%,1.9%,0.3%,2.2%
大司命,打野,49.7%,-0.10%,10.8%,11.6%,22.4%
苍,发育路,49.7%,0.00%,1.7%,0.2%,1.9%
西施,中路,49.6%,-0.29%,9.9%,15.6%,25.5%
典韦,打野,49.6%,-0.40%,11.2%,3.4%,14.6%
刘禅,游走,49.5%,-0.26%,10.0%,8.9%,18.9%
鲁班七号,发育路,49.5%,-0.15%,21.0%,1.6%,22.6%
元歌,对抗路,49.5%,+0.31%,1.9%,0.5%,2.4%
元流之子(辅助),游走,49.4%,-0.37%,1.5%,0.6%,2.1%
张飞,游走,49.4%,-0.14%,5.3%,1.6%,6.9%
宫本武藏,打野,49.4%,-0.22%,9.7%,10.9%,20.6%
戈娅,发育路,49.3%,-0.10%,1.7%,0.9%,2.6%
刘邦,游走/对抗路,49.3%,-0.28%,2.2%,0.7%,2.9%
上官婉儿,中路,49.3%,+0.37%,1.6%,1.1%,2.7%
高渐离,中路,49.3%,-0.10%,2.0%,0.2%,2.2%
元流之子(刺客),打野,49.3%,+0.05%,0.8%,0.1%,1.0%
东皇太一,对抗路/游走,49.3%,+0.09%,7.3%,36.8%,44.1%
明世隐,游走,49.2%,-0.07%,4.5%,1.5%,6.0%
盘古,打野,49.2%,-0.36%,3.0%,10.6%,13.6%
敖隐,发育路,49.1%,+0.16%,5.6%,24.9%,30.5%
韩信,打野,48.9%,+0.39%,4.2%,0.4%,4.6%
百里玄策,打野,48.9%,+0.22%,2.5%,0.2%,2.7%
曜,打野,48.9%,+0.15%,3.2%,0.2%,3.4%
元流之子(射手),发育路,48.8%,-0.32%,4.1%,0.6%,4.7%
艾琳,发育路,48.8%,-0.21%,12.8%,2.8%,15.6%
赵怀真,游走/对抗路,48.7%,-0.09%,1.7%,0.3%,2.0%
元流之子(坦克),游走/对抗路/打野,48.6%,-0.42%,3.6%,1.7%,5.3%
苏烈,游走,48.5%,+0.09%,2.5%,1.6%,4.2%
马可波罗,发育路,48.5%,-0.05%,19.4%,5.2%,24.6%
鲁班大师,游走,48.5%,-0.05%,0.9%,0.6%,1.5%
大乔,中路/游走,48.4%,-0.03%,8.6%,25.8%,34.4%
钟馗,游走,48.3%,+0.16%,8.9%,29.4%,38.3%
诸葛亮,中路/打野,48.3%,0.00%,10.3%,3.5%,13.8%
太乙真人,游走,48.2%,-0.13%,0.7%,0.5%,1.2%
貂蝉,中路,48.2%,-0.19%,11.3%,6.2%,17.5%
小乔,中路,48.2%,-0.10%,28.5%,1.6%,30.1%
米莱狄,中路,48.2%,+0.13%,8.5%,28.8%,37.3%
