英雄,分路,胜率,日变化,出场率,禁用率,BP率
司空震,对抗路/发育路,48.2%,-0.27%,5.8%,1.9%,7.7%
蚩奼,发育路/对抗路,48.1%,-0.17%,3.2%,0.9%,4.2%
孙策,对抗路,48.0%,-0.11%,6.5%,0.4%,6.9%
老夫子,对抗路,47.8%,+0.06%,1.7%,0.6%,2.3%
鬼谷子,游走,47.7%,+0.31%,1.4%,3.4%,4.8%
杨玉环,中路/游走,47.6%,+0.28%,3.7%,0.2%,3.9%
吕布,对抗路,47.6%,-0.22%,18.8%,5.6%,24.4%
孙悟空,打野,47.5%,-0.76%,21.7%,4.0%,25.6%
少司缘,游走,47.4%,+0.01%,10.4%,26.4%,36.8%
海诺,中路,47.3%,+0.03%,3.6%,3.8%,7.4%
嫦娥,中路,47.2%,+0.03%,2.8%,0.9%,3.8%
朵莉亚,游走,47.2%,+0.02%,20.0%,19.5%,39.5%
夏洛特,对抗路,47.1%,+0.07%,3.3%,0.2%,3.5%
达摩,对抗路,47.1%,+0.32%,2.3%,0.1%,2.4%
狂铁,对抗路,46.9%,+0.08%,4.2%,0.7%,4.9%
沈梦溪,中路,46.7%,+0.03%,2.3%,0.6%,2.9%
空空儿,游走,46.7%,+0.69%,0.5%,0.8%,1.3%
澜,打野,46.6%,+0.15%,18.9%,4.8%,23.7%
关羽,对抗路,46.6%,+0.61%,6.9%,2.0%,8.9%
花木兰,对抗路,46.5%,+0.13%,2.9%,0.1%,3.0%
海月,中路,46.5%,-0.14%,9.3%,19.1%,28.4%
孙尚香,发育路,46.0%,+0.01%,13.1%,1.5%,14.6%
姬小满,对抗路,45.2%,+0.43%,1.4%,0.1%,1.5%
马超,打野/对抗路,45.1%,+0.41%,7.7%,1.5%,9.2%
不知火舞,中路,44.1%,+0.07%,2.6%,0.5%,3.1%
蒙恬,对抗路,44.0%,+0.60%,1.0%,1.7%,2.7%
裴擒虎,打野,43.9%,+0.02%,4.1%,0.4%,4.5%
露娜,打野,42.7%,+0.18%,3.2%,0.1%,3.4%
公孙离,发育路,42.1%,+0.07%,6.0%,1.1%,7.1%
镜,打野,41.5%,+0.74%,3.6%,0.8%,4.4%
