英雄,分路,胜率,日变化,出场率,第一轮禁用率,第二轮禁用率,赋权禁用率,禁用率,赋权BP率,BP率,巅峰均分,Q区国十,Q区国百,aq国十,aq国百,iq国十,iq国百,av国十,av国百,iv国十,iv国百,场均击杀,场均死亡,场均助攻,KDA,参团率,输出占比,分均输出,承伤占比,分均承伤,分均经济,局均经济,伤转,平均时长,控制时长,治疗量,对塔伤害,胜方MVP,败方MVP,MVP率,拿牌率,超神率,前期胜率,中期胜率,后期胜率
典韦,打野,52.3%,-0.07%,4.7%,0.0%,0.1%,0.1%,0.1%,4.7%,4.7%,"2,265","15,293","13,082","15,732","14,012","14,854","12,151","15,177","13,243","14,402","12,017",4.1,3.0,4.5,2.88,63.5%,22.0%,"5,282",19.9%,"4,696",754,"9,852",0.97,13:04,6.3s,"12,488","8,548",13.4%,8.5%,21.9%,21.4%,8.9%,51.2%,54.2%,48.4%
元流之子(辅助),游走,52.2%,+0.06%,31.8%,26.7%,5.0%,28.7%,31.8%,60.5%,63.5%,"2,286","17,108","15,537","17,403","15,604","16,812","15,470","15,909","14,634","16,031","14,658",0.9,2.0,8.5,4.80,73.9%,13.1%,"3,119",26.4%,"6,738",524,"6,864",0.82,13:06,0.0s,"83,515","3,491",10.7%,10.1%,20.8%,32.6%,0.0%,50.8%,53.4%,53.5%
西施,中路,52.2%,-0.15%,8.8%,0.4%,2.0%,1.2%,2.4%,10.0%,11.2%,"2,267","16,205","14,719","16,141","14,902","16,269","14,535","15,258","14,024","14,945","13,688",1.7,2.7,7.4,3.34,63.7%,18.8%,"4,364",12.7%,"2,902",544,"7,244",1.13,13:19,18.6s,"5,740",782,1.5%,6.0%,7.5%,16.5%,0.4%,55.4%,52.5%,44.9%
鲁班大师,游走,52.0%,+0.14%,12.0%,1.8%,5.7%,4.1%,7.5%,16.1%,19.6%,"2,294","16,342","14,053","16,915","14,939","15,768","13,166","15,470","13,597","14,829","12,507",0.9,2.1,9.9,5.16,75.5%,10.3%,"2,344",30.4%,"7,267",514,"6,776",0.67,13:11,33.6s,"5,967","2,103",11.1%,6.6%,17.7%,28.2%,0.0%,51.6%,52.9%,53.5%
高渐离,中路,51.8%,-0.31%,3.4%,0.0%,0.1%,0.1%,0.1%,3.5%,3.5%,"2,271","15,314","13,335","15,579","14,085","15,049","12,584","15,091","13,542","14,670","12,487",3.9,3.3,5.4,2.79,64.9%,25.8%,"6,100",19.4%,"4,713",688,"8,955",1.27,13:01,1.0s,"11,190","3,846",10.4%,10.4%,20.8%,23.0%,1.6%,52.3%,51.7%,52.5%
太乙真人,游走,51.8%,+0.17%,11.4%,0.5%,2.1%,1.3%,2.5%,12.6%,13.9%,"2,281","16,025","14,073","16,470","14,658","15,579","13,487","15,427","13,786","15,537","12,950",0.9,2.5,8.4,3.75,67.6%,9.1%,"2,108",26.3%,"6,162",537,"7,232",0.56,13:28,25.0s,"6,881",502,5.3%,3.1%,8.4%,23.4%,0.0%,50.5%,54.0%,48.0%
镜,打野,51.8%,0.00%,20.6%,34.2%,10.4%,38.3%,44.5%,58.9%,65.1%,"2,265","17,092","15,375","17,397","15,445","16,787","15,305","16,342","14,628","16,470","14,689",4.2,2.4,4.8,3.73,64.1%,21.2%,"5,205",18.4%,"4,379",776,"10,644",0.91,13:43,4.3s,"38,811","8,288",18.2%,13.9%,32.1%,34.6%,7.8%,52.9%,51.2%,50.5%
嫦娥,中路,51.8%,-0.03%,24.1%,11.0%,14.2%,16.7%,25.2%,40.8%,49.3%,"2,271","16,620","15,192","16,470","15,207","16,769","15,177","15,768","14,719","16,031","14,652",2.6,2.5,6.1,3.45,65.5%,24.8%,"5,849",20.1%,"5,078",695,"9,244",1.18,13:18,12.9s,"33,210","2,377",12.4%,11.8%,24.2%,25.8%,1.2%,51.7%,51.0%,48.0%
云中君,打野,51.7%,+0.15%,1.1%,0.0%,0.0%,0.0%,0.0%,1.1%,1.1%,"2,218","14,766","12,914","14,945","13,542","14,587","12,285","14,439","12,755","14,762","12,176",3.5,2.9,4.8,2.88,59.2%,15.4%,"3,650",17.1%,"4,108",728,"9,464",0.69,13:00,14.2s,"11,405","6,278",3.3%,10.0%,13.3%,8.3%,1.7%,50.2%,53.6%,52.4%
少司缘,游走,51.6%,-0.09%,29.9%,56.1%,3.6%,57.5%,59.7%,87.4%,89.5%,"2,288","17,218","15,973","17,202","15,903","17,233","16,043","16,006","14,994","16,385","15,207",1.3,2.6,9.3,4.11,75.3%,12.6%,"3,003",22.9%,"5,353",584,"7,611",0.73,13:02,10.6s,"73,417","1,044",10.4%,6.1%,16.5%,40.4%,0.0%,52.9%,51.2%,48.0%
孙策,对抗路,51.6%,0.00%,2.5%,0.0%,0.0%,0.0%,0.0%,2.5%,2.5%,"2,273","15,253","13,027","15,396","13,646","15,110","12,407","14,985","12,980","15,177","12,066",2.7,3.7,6.1,2.38,63.3%,15.0%,"3,347",20.5%,"4,571",646,"8,452",0.77,13:05,15.3s,"12,987","3,619",5.3%,3.1%,8.4%,15.3%,0.8%,55.5%,50.0%,47.8%
阿古朵,打野,51.6%,+0.02%,11.0%,1.9%,5.4%,4.1%,7.3%,15.1%,18.4%,"2,255","16,104","14,277","16,519","14,603","15,689","13,951","15,537","14,170","15,592","13,932",3.6,2.4,5.0,3.56,67.3%,23.3%,"5,707",26.0%,"6,904",751,"9,700",1.03,12:55,8.5s,"57,992","13,853",11.8%,7.8%,19.6%,14.1%,6.1%,56.3%,47.4%,44.4%
百里玄策,打野,51.5%,+0.13%,9.4%,0.7%,2.8%,1.8%,3.4%,11.3%,12.9%,"2,270","15,879","14,378","15,457","14,274","16,301","14,481","14,951","13,841","15,439","14,115",4.1,3.3,4.3,2.57,61.2%,16.1%,"3,725",17.0%,"3,846",787,"10,192",0.69,12:57,12.2s,"7,358","11,028",9.6%,4.8%,14.4%,13.8%,5.4%,53.6%,49.6%,50.4%
戈娅,发育路,51.5%,+0.07%,14.4%,0.7%,10.7%,5.0%,11.4%,19.4%,25.8%,"2,282","16,864","15,138","16,836","15,293","16,891","14,982","15,860","14,579","15,964","14,079",3.2,2.8,5.7,3.20,62.0%,25.6%,"6,217",17.0%,"4,065",722,"9,591",1.19,13:17,3.0s,"10,245","9,897",11.1%,7.4%,18.5%,21.7%,4.3%,52.3%,53.0%,48.8%
周瑜,中路,51.4%,+0.19%,1.3%,0.0%,0.0%,0.0%,0.0%,1.3%,1.3%,"2,294","14,701","12,450","14,933","13,042","14,469","11,858","14,280","12,224","14,231","11,621",2.0,3.0,6.9,2.94,67.4%,27.5%,"6,711",16.3%,"3,774",655,"8,788",1.42,13:25,13.3s,"21,519","7,356",17.6%,4.4%,22.0%,30.9%,0.0%,54.9%,49.7%,49.3%
花木兰,对抗路,51.4%,+0.07%,6.6%,0.0%,0.1%,0.0%,0.1%,6.6%,6.7%,"2,267","15,815","14,360","15,793","14,579","15,836","14,140","15,537","13,871","15,561","13,926",3.5,3.3,4.6,2.44,54.8%,19.4%,"4,780",18.4%,"4,288",704,"9,621",0.92,13:40,19.7s,"11,380","4,673",9.1%,8.8%,17.9%,28.5%,2.6%,54.3%,50.2%,47.9%
貂蝉,中路,51.4%,-0.02%,5.4%,0.2%,0.4%,0.3%,0.6%,5.7%,6.0%,"2,272","16,027","14,183","16,023","14,384","16,031","13,981","15,329","13,939","15,549","14,018",3.1,3.5,4.6,2.16,57.9%,25.3%,"6,133",19.9%,"4,965",724,"9,472",1.17,13:05,2.4s,"27,311",828,14.7%,7.7%,22.4%,23.4%,1.7%,47.2%,53.6%,57.3%
蒙犽,发育路,51.4%,-0.12%,0.8%,0.0%,0.1%,0.0%,0.1%,0.9%,0.9%,"2,265","14,755","12,838","14,982","13,438","14,528","12,237","14,811","12,999","14,542","12,956",3.5,2.3,4.0,3.31,56.7%,25.8%,"6,323",16.8%,"3,876",750,"10,075",1.13,13:26,2.1s,"29,972","13,549",18.6%,7.0%,25.6%,25.6%,4.7%,50.3%,54.3%,53.5%
敖隐,发育路,51.4%,+0.02%,21.1%,73.5%,2.7%,74.6%,76.2%,95.7%,97.3%,"2,285","16,827","14,860","17,062","15,201","16,592","14,518","15,604","13,920","15,384","13,524",3.2,2.0,4.6,4.00,57.8%,24.0%,"5,801",17.0%,"4,094",707,"9,438",1.12,13:21,5.9s,"26,880","13,130",12.0%,11.2%,23.2%,22.7%,3.5%,54.5%,49.5%,49.6%
大禹,游走,51.2%,-0.01%,18.8%,1.0%,2.4%,2.0%,3.4%,20.8%,22.2%,"2,269","16,254","14,759","16,641","15,207","15,866","14,311","16,055","14,610","15,726","14,280",0.6,2.1,9.4,4.65,75.3%,8.5%,"2,025",24.5%,"6,058",521,"6,947",0.54,13:20,26.0s,"69,997","1,750",6.2%,4.5%,10.7%,26.2%,0.0%,54.3%,50.3%,49.1%
孙尚香,发育路,51.2%,-0.38%,4.9%,0.0%,0.2%,0.1%,0.2%,4.9%,5.0%,"2,289","16,107","14,348","16,122","14,616","16,092","14,079","15,604","13,731","15,899","13,884",3.5,2.7,4.3,2.84,58.4%,25.3%,"5,959",17.0%,"3,885",725,"9,630",1.15,13:17,4.9s,"9,478","13,693",14.7%,11.6%,26.3%,26.7%,5.4%,54.4%,49.8%,46.9%
芈月,对抗路,51.1%,+0.08%,3.0%,0.1%,0.2%,0.2%,0.3%,3.1%,3.3%,"2,276","15,680","13,606","15,628","14,103","15,732","13,109","15,005","13,237","15,525","13,207",2.3,3.1,3.5,1.87,45.8%,21.5%,"5,163",21.9%,"5,083",703,"8,928",1.03,12:42,0.4s,"27,350","8,172",8.9%,3.8%,12.7%,15.8%,1.9%,54.5%,49.0%,44.5%
司马懿,打野,51.1%,-0.20%,3.0%,0.0%,0.1%,0.1%,0.1%,3.1%,3.1%,"2,248","15,369","13,246","15,537","13,908","15,201","12,584","15,177","13,207","14,902","12,560",3.8,3.0,3.9,2.53,61.4%,19.1%,"4,487",17.8%,"4,323",737,"10,072",0.83,13:40,5.8s,"13,255","7,557",7.5%,6.9%,14.4%,7.5%,4.4%,51.1%,50.4%,55.9%
盘古,打野,51.0%,-0.15%,1.7%,0.1%,0.2%,0.1%,0.2%,1.9%,2.0%,"2,252","14,381","12,454","14,762","13,329","14,000","11,578","14,347","12,694","14,311","11,340",3.8,3.3,4.7,2.56,59.7%,21.7%,"5,374",19.2%,"4,649",729,"9,999",0.98,13:43,49.8s,"31,515","6,216",13.0%,5.4%,18.4%,25.0%,3.3%,50.5%,51.4%,51.9%
达摩,对抗路,51.0%,-0.25%,4.3%,0.0%,0.0%,0.0%,0.0%,4.3%,4.3%,"2,278","15,089","13,216","15,378","13,847","14,799","12,584","15,360","13,280","14,445","11,730",2.5,3.2,5.2,2.40,54.9%,15.3%,"3,540",21.3%,"5,062",643,"8,595",0.79,13:22,20.1s,"34,930","2,946",4.0%,4.9%,8.9%,12.8%,1.3%,52.2%,50.4%,50.1%
诸葛亮,中路/打野,50.9%,-0.06%,17.2%,0.5%,0.7%,0.8%,1.2%,17.9%,18.4%,"2,267","16,110","14,829","16,098","15,061","16,122","14,597","15,768","14,652","15,909","14,426",3.8,3.0,4.5,2.77,62.2%,27.5%,"6,720",16.9%,"4,024",754,"9,903",1.22,13:08,1.3s,"5,463",901,15.6%,13.9%,29.5%,20.4%,5.3%,50.8%,50.5%,52.6%
不知火舞,中路,50.9%,+0.09%,11.1%,0.5%,4.1%,2.1%,4.6%,13.3%,15.8%,"2,273","16,354","14,729","16,470","14,982","16,238","14,475","15,543","14,042","15,897","13,964",2.7,3.2,5.9,2.72,61.3%,20.6%,"4,793",17.3%,"4,142",631,"8,371",1.09,13:16,26.6s,"5,880","1,188",5.6%,7.4%,13.0%,22.1%,0.5%,54.2%,49.3%,43.3%
蚩奼,发育路/对抗路,50.9%,+0.08%,12.3%,0.4%,2.5%,1.4%,2.8%,13.7%,15.2%,"2,278","16,491","14,744","16,915","15,177","16,067","14,311","15,970","14,372","15,689","13,743",3.6,3.4,4.3,2.37,54.5%,22.2%,"5,276",20.6%,"5,077",703,"9,326",1.05,13:16,7.8s,"25,315","8,686",10.4%,5.9%,16.3%,20.6%,3.7%,50.2%,50.8%,54.2%
马超,打野/对抗路,50.9%,+0.04%,25.0%,32.9%,9.5%,36.7%,42.4%,61.6%,67.3%,"2,279","17,101","15,525","17,287","15,695","16,915","15,354","16,159","14,799","16,482","14,689",3.9,2.5,4.3,3.32,61.6%,20.9%,"5,011",19.8%,"4,718",801,"10,560",0.87,13:11,2.2s,"39,764","8,167",16.3%,9.3%,25.6%,25.1%,6.6%,50.7%,50.0%,50.4%
元歌,对抗路,50.8%,-0.15%,15.5%,11.1%,7.8%,14.2%,18.9%,29.7%,34.4%,"2,264","15,955","14,789","16,086","15,158","15,823","14,420","15,750","14,536","16,000","14,054",3.0,2.2,4.6,3.46,55.8%,21.0%,"5,116",13.6%,"2,986",665,"9,166",1.03,13:47,3.6s,"13,361","5,397",8.4%,10.8%,19.2%,25.4%,2.9%,51.1%,50.6%,52.7%
橘右京,打野,50.8%,-0.05%,4.2%,0.0%,0.2%,0.1%,0.2%,4.3%,4.4%,"2,259","15,635","13,638","15,665","13,945","15,604","13,330","15,207","13,408","15,189","13,011",3.6,2.5,4.4,3.24,61.1%,20.4%,"4,818",18.4%,"4,350",771,"10,062",0.87,13:03,9.9s,"32,131","6,481",10.8%,4.5%,15.3%,19.3%,8.5%,51.6%,49.4%,50.1%
亚瑟,对抗路/游走,50.6%,-0.36%,2.1%,0.0%,0.1%,0.0%,0.1%,2.1%,2.2%,"2,258","14,948","12,950","15,189","13,694","14,707","12,206","14,695","12,926","14,207","11,944",3.1,3.0,5.3,2.78,65.5%,15.7%,"3,733",25.6%,"6,656",613,"8,347",0.82,13:37,13.9s,"50,780","2,123",6.3%,9.9%,16.2%,17.1%,1.8%,46.7%,53.1%,53.7%
公孙离,发育路,50.6%,+0.19%,13.6%,3.5%,9.8%,7.5%,13.3%,21.0%,26.9%,"2,286","16,940","15,467","16,958","15,646","16,921","15,287","15,768","14,353","16,275","14,504",3.5,2.7,4.4,2.97,57.3%,22.8%,"5,497",16.4%,"3,923",723,"9,640",1.05,13:20,2.3s,"10,620","10,191",13.6%,8.5%,22.1%,27.6%,4.7%,47.9%,51.4%,54.7%
裴擒虎,打野,50.6%,-0.05%,19.6%,41.5%,11.9%,46.3%,53.4%,65.8%,73.0%,"2,262","16,824","15,137","16,763","15,396","16,885","14,878","16,031","14,384","16,470","14,548",4.1,2.7,4.3,3.15,64.5%,20.2%,"4,765",18.1%,"4,314",778,"10,257",0.86,13:11,3.4s,"7,336","11,449",13.5%,9.6%,23.1%,23.2%,7.4%,52.1%,48.5%,49.3%
莱西奥,发育路,50.6%,+0.21%,4.0%,0.0%,0.0%,0.0%,0.0%,4.0%,4.0%,"2,275","15,607","13,738","16,037","14,323","15,177","13,153","15,121","13,615","15,226","13,304",3.3,2.7,4.8,3.04,60.3%,27.0%,"6,553",15.8%,"3,740",719,"9,718",1.24,13:31,0.6s,"10,649","14,076",12.7%,9.9%,22.6%,15.5%,3.8%,48.6%,51.8%,52.6%
黄忠,发育路,50.5%,-0.12%,1.2%,0.0%,0.0%,0.0%,0.0%,1.2%,1.2%,"2,318","14,646","12,792","15,177","13,237","14,115","12,346","15,098","12,859","14,610","12,474",2.3,2.2,4.0,2.86,52.1%,24.9%,"5,607",16.2%,"3,786",689,"8,854",1.17,12:51,17.6s,"8,118","11,040",9.4%,1.6%,11.0%,10.9%,1.6%,46.5%,51.5%,53.7%
伽罗,发育路,50.3%,+0.75%,0.7%,0.0%,0.1%,0.0%,0.1%,0.7%,0.8%,"2,286","14,958","12,759","15,177","13,347","14,738","12,170","14,483","12,584","14,932","12,487",3.2,2.2,5.3,3.81,61.1%,26.5%,"6,514",15.4%,"3,440",740,"9,990",1.19,13:30,6.5s,"12,683","16,337",16.2%,5.4%,21.6%,24.3%,2.7%,48.8%,50.6%,50.8%
武则天,中路,50.3%,-0.05%,10.8%,4.7%,17.8%,11.8%,22.5%,22.6%,33.3%,"2,269","16,281","14,613","16,482","14,756","16,080","14,469","15,323","14,060","15,317","14,085",1.7,2.5,7.7,3.76,69.5%,22.3%,"5,197",13.6%,"3,127",598,"7,993",1.23,13:22,39.0s,"5,509",593,3.8%,5.6%,9.4%,13.5%,0.0%,53.5%,48.9%,48.0%
艾琳,发育路,50.3%,+0.13%,10.9%,0.4%,8.7%,3.9%,9.1%,14.8%,20.0%,"2,270","16,296","14,720","16,647","15,055","15,945","14,384","15,543","14,414","15,628","14,252",3.3,2.7,4.6,2.87,61.0%,28.4%,"6,808",18.1%,"4,441",716,"9,380",1.31,13:06,2.0s,"5,413","13,577",16.0%,11.5%,27.5%,25.4%,5.0%,51.1%,50.2%,43.6%
哪吒,对抗路/打野,50.3%,+0.21%,15.1%,3.3%,6.3%,5.8%,9.5%,20.9%,24.6%,"2,266","15,851","14,491","15,994","14,945","15,708","14,036","15,665","14,445","15,561","13,884",3.7,3.3,5.7,2.79,65.6%,19.1%,"4,644",22.9%,"5,656",643,"8,681",0.99,13:30,0.0s,"5,706","1,669",6.1%,7.1%,13.2%,12.8%,1.6%,45.7%,52.5%,53.1%
后羿,发育路,50.3%,-0.04%,5.8%,0.1%,1.1%,0.5%,1.2%,6.3%,7.0%,"2,268","15,424","13,865","15,683","14,231","15,165","13,499","15,317","13,884","15,213","13,572",2.5,2.7,5.8,3.02,58.6%,20.2%,"4,635",15.3%,"3,462",686,"8,598",0.97,12:32,15.5s,"11,312","11,964",6.5%,2.6%,9.1%,15.0%,2.3%,49.1%,50.5%,51.9%
老夫子,对抗路,50.2%,-0.11%,9.6%,2.1%,15.4%,8.3%,17.6%,17.9%,27.2%,"2,278","15,708","13,884","15,958","14,451","15,457","13,316","15,268","13,481","15,012","12,575",1.6,3.1,5.1,2.16,51.3%,12.3%,"2,845",18.2%,"4,172",639,"8,307",0.63,13:00,10.2s,"10,683","6,998",1.2%,5.1%,6.3%,24.4%,0.0%,44.7%,52.7%,56.1%
李元芳,打野/发育路,50.2%,-0.16%,1.4%,0.0%,0.1%,0.0%,0.1%,1.4%,1.5%,"2,249","15,046","13,085","15,213","13,530","14,878","12,639","15,018","13,310","14,567","13,139",3.3,2.9,5.1,2.94,66.0%,23.3%,"5,615",17.1%,"3,991",756,"10,206",1.01,13:30,2.8s,"8,315","10,720",9.3%,1.3%,10.6%,9.3%,4.0%,52.8%,48.7%,49.2%
韩信,打野,50.2%,0.00%,8.5%,0.1%,0.6%,0.4%,0.7%,8.8%,9.2%,"2,255","15,699","14,396","15,714","14,603","15,683","14,189","15,250","13,737","15,384","13,945",3.3,2.4,4.5,3.21,60.8%,18.3%,"4,325",16.5%,"3,877",790,"10,507",0.77,13:18,15.9s,"6,280","10,185",10.9%,8.2%,19.1%,20.7%,4.4%,48.9%,50.2%,52.0%
梦奇,打野/对抗路,50.2%,-0.49%,1.0%,0.0%,0.0%,0.0%,0.0%,1.0%,1.0%,"2,255","15,003","12,588","15,220","13,182","14,786","11,993","14,846","12,401","14,646","11,505",2.7,1.9,4.8,3.97,57.4%,21.5%,"5,149",23.6%,"6,031",725,"9,377",0.97,12:56,4.8s,"6,902","7,263",11.1%,7.4%,18.5%,31.5%,1.9%,47.9%,52.0%,49.6%
大司命,打野,50.1%,+0.26%,4.4%,0.1%,0.5%,0.3%,0.6%,4.6%,4.9%,"2,251","15,644","13,893","15,848","14,347","15,439","13,438","15,073","13,579","15,122","12,877",3.8,3.1,4.4,2.62,60.3%,23.2%,"5,969",20.9%,"5,222",757,"10,320",1.02,13:38,6.8s,"39,047","7,242",13.3%,7.3%,20.6%,16.7%,4.7%,48.5%,51.5%,49.7%
庄周,游走,49.9%,+0.15%,0.6%,0.1%,0.1%,0.1%,0.2%,0.8%,0.9%,"2,257","14,070","10,840","14,311","11,499","13,829","10,180","13,020","11,176","13,402","10,620",0.9,1.9,7.4,4.40,66.3%,12.9%,"2,980",27.3%,"6,740",518,"6,639",0.80,12:49,7.2s,"22,867",460,6.1%,9.1%,15.2%,27.3%,0.0%,46.8%,51.8%,51.6%
影,对抗路,49.9%,+0.02%,24.2%,5.8%,9.7%,9.7%,15.5%,33.8%,39.6%,"2,273","16,717","15,314","16,860","15,604","16,574","15,024","15,976","14,829","15,982","14,548",3.1,3.0,4.2,2.46,54.0%,22.3%,"5,526",25.9%,"6,526",698,"9,249",1.07,13:15,0.5s,"33,275","9,008",11.0%,10.7%,21.7%,16.3%,2.5%,51.3%,49.8%,49.0%
苍,发育路,49.8%,+0.06%,10.4%,0.0%,0.9%,0.4%,0.9%,10.8%,11.3%,"2,277","16,155","14,579","16,243","14,884","16,067","14,274","15,604","14,048","15,305","13,499",3.1,2.7,4.5,2.78,56.1%,25.5%,"6,166",15.5%,"3,640",699,"9,273",1.21,13:16,5.3s,"9,449","11,792",10.7%,7.3%,18.0%,18.1%,3.3%,49.0%,50.6%,50.6%
虞姬,发育路,49.8%,-0.06%,8.8%,0.2%,4.4%,1.9%,4.6%,10.7%,13.4%,"2,270","15,598","14,177","15,726","14,469","15,470","13,884","15,177","13,682","15,177","13,621",2.9,2.6,4.4,2.79,54.2%,24.6%,"5,866",14.8%,"3,466",700,"9,345",1.16,13:21,7.2s,"9,031","12,453",9.9%,4.5%,14.4%,15.0%,1.9%,50.2%,49.8%,52.0%
夏洛特,对抗路,49.7%,+0.12%,8.5%,0.1%,0.3%,0.2%,0.3%,8.7%,8.8%,"2,288","16,065","14,265","16,446","14,957","15,683","13,572","15,421","13,884","15,177","12,963",2.6,3.0,4.1,2.21,50.1%,19.4%,"4,676",21.6%,"5,073",686,"9,078",0.94,13:14,5.8s,"40,238","4,049",6.4%,6.4%,12.8%,19.9%,1.3%,48.8%,51.3%,47.7%
狄仁杰,发育路,49.7%,-0.17%,5.7%,0.4%,9.1%,4.1%,9.5%,9.8%,15.2%,"2,279","15,369","13,478","15,604","13,957","15,134","12,999","15,079","13,414","14,928","12,998",2.7,2.5,5.4,3.18,62.1%,25.9%,"6,215",18.1%,"4,493",708,"9,357",1.21,13:13,8.6s,"8,975","16,054",10.8%,8.5%,19.3%,24.3%,1.3%,51.9%,48.5%,46.8%
李信,发育路/对抗路,49.7%,+0.33%,10.9%,0.1%,0.6%,0.3%,0.6%,11.2%,11.5%,"2,270","15,863","14,427","16,177","14,908","15,549","13,945","15,738","14,359","15,232","13,560",3.1,2.6,3.8,2.63,49.5%,24.3%,"5,947",18.2%,"4,479",731,"10,063",1.11,13:46,2.5s,"24,950","13,359",11.6%,10.9%,22.5%,25.4%,2.1%,54.7%,46.3%,47.2%
苏烈,游走,49.7%,-0.13%,14.6%,6.0%,16.1%,12.4%,22.1%,27.0%,36.6%,"2,281","16,159","14,509","16,513","15,134","15,805","13,884","15,744","14,237","15,506","13,365",0.9,2.7,8.5,3.46,70.0%,10.2%,"2,361",32.4%,"8,120",508,"6,833",0.66,13:27,27.6s,"54,526","3,018",4.8%,3.9%,8.7%,16.9%,0.0%,50.6%,48.5%,51.7%
