英雄,分路,胜率,日变化,出场率,第一轮禁用率,第二轮禁用率,赋权禁用率,禁用率,赋权BP率,BP率,巅峰均分,Q区国十,Q区国百,aq国十,aq国百,iq国十,iq国百,av国十,av国百,iv国十,iv国百,场均击杀,场均死亡,场均助攻,KDA,参团率,输出占比,分均输出,承伤占比,分均承伤,分均经济,局均经济,伤转,平均时长,控制时长,治疗量,对塔伤害,胜方MVP,败方MVP,MVP率,拿牌率,超神率,前期胜率,中期胜率,后期胜率
盾山,游走,55.0%,+0.14%,8.6%,86.2%,1.2%,86.7%,87.4%,95.3%,96.0%,"2,284","16,272","14,183","16,738","14,829","15,805","13,536","15,177","13,554","14,878","12,749",0.9,2.5,9.3,4.01,71.6%,9.0%,"2,084",24.9%,"5,750",525,"7,149",0.57,13:37,42.3s,"15,379","1,733",2.4%,4.4%,6.8%,22.2%,0.0%,58.3%,53.3%,49.6%
关羽,对抗路,54.1%,-0.06%,21.0%,22.6%,18.4%,30.0%,41.1%,51.0%,62.1%,"2,284","16,910","14,872","17,135","15,396","16,684","14,347","15,933","14,488","15,909","14,109",2.7,2.9,5.1,2.64,54.5%,15.1%,"3,537",19.3%,"4,480",653,"8,881",0.77,13:36,23.0s,"18,767","2,512",4.3%,5.9%,10.2%,17.9%,1.3%,58.7%,52.5%,49.4%
露娜,打野,54.0%,-0.12%,9.2%,0.1%,1.1%,0.6%,1.2%,9.8%,10.4%,"2,255","16,150","14,546","16,165","14,695","16,134","14,396","15,396","13,554","16,354","13,597",4.0,2.8,4.1,2.88,58.7%,21.2%,"5,252",20.3%,"4,987",797,"10,746",0.89,13:29,9.1s,"7,335","5,540",18.2%,12.7%,30.9%,30.6%,5.1%,56.9%,51.9%,53.9%
鲁班七号,发育路,53.3%,+0.02%,3.3%,0.1%,1.2%,0.6%,1.2%,3.9%,4.5%,"2,288","15,269","13,134","15,537","13,658","15,000","12,609","15,030","13,011","14,587","12,647",3.6,3.2,5.2,2.71,63.0%,28.1%,"6,601",16.1%,"3,730",730,"9,977",1.27,13:40,4.3s,"8,054","14,709",17.6%,11.9%,29.5%,26.7%,5.1%,54.2%,51.7%,52.6%
海月,中路,53.1%,+0.11%,7.9%,88.8%,1.7%,89.4%,90.5%,97.4%,98.4%,"2,280","16,147","14,216","16,214","14,408","16,080","14,024","15,293","13,438","14,738","13,042",3.5,3.2,4.7,2.56,57.6%,21.4%,"4,962",19.1%,"4,669",629,"8,208",1.13,13:03,10.6s,"6,112",903,8.8%,9.2%,18.0%,23.2%,2.4%,52.6%,53.6%,50.6%
大乔,中路/游走,52.8%,+0.16%,21.4%,24.2%,10.2%,28.3%,34.4%,49.7%,55.8%,"2,285","16,782","15,537","16,684","15,354","16,879","15,720","15,720","14,311","16,031","14,469",1.3,2.3,8.5,4.29,72.1%,21.1%,"5,173",17.4%,"4,065",593,"8,085",1.18,13:38,8.0s,"4,526","1,140",9.8%,9.6%,19.4%,28.4%,0.2%,56.4%,51.4%,51.9%
雅典娜,打野,52.6%,+0.01%,3.6%,0.0%,0.0%,0.0%,0.1%,3.7%,3.7%,"2,247","15,400","12,998","15,091","13,463","15,708","12,533","14,518","12,773","14,719","12,170",4.1,4.3,4.5,2.00,63.1%,20.3%,"4,991",22.1%,"5,715",742,"10,277",0.90,13:51,15.0s,"9,167","6,616",6.2%,5.7%,11.9%,12.4%,3.6%,50.7%,54.3%,52.6%
鬼谷子,游走,52.6%,+0.21%,1.2%,0.1%,0.1%,0.1%,0.2%,1.3%,1.4%,"2,285","14,814","12,556","15,177","13,339","14,451","11,773","14,384","12,535","13,884","11,639",0.8,2.9,11.1,4.11,75.4%,8.7%,"1,997",20.6%,"4,326",498,"6,640",0.59,13:20,14.7s,"7,101",725,1.5%,3.1%,4.6%,9.3%,0.0%,48.6%,54.2%,53.4%
蒙恬,对抗路,52.5%,+0.13%,9.9%,0.6%,4.0%,2.2%,4.7%,12.2%,14.6%,"2,276","15,735","14,067","15,945","14,652","15,524","13,481","15,256","13,884","15,177","13,121",2.3,2.8,4.8,2.56,52.3%,18.6%,"4,607",23.3%,"5,604",636,"8,607",0.97,13:32,21.7s,"27,244","6,636",7.8%,5.9%,13.7%,22.6%,0.4%,60.6%,48.7%,41.3%
上官婉儿,中路,52.5%,-0.03%,3.2%,0.0%,0.1%,0.0%,0.1%,3.3%,3.3%,"2,267","15,601","13,643","15,720","13,987","15,482","13,298","14,957","13,341","15,420","13,310",3.8,3.7,4.7,2.27,62.4%,24.3%,"5,667",17.6%,"4,242",644,"8,232",1.24,12:47,1.4s,"12,915","3,389",11.7%,7.0%,18.7%,21.1%,4.1%,54.4%,51.7%,45.2%
